General Imports|Monthly data for 2025,,,,,,,,,,,,,,,,
Data Row Count,10946,,,,,,,,,,,,,,,
Data Type,HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
General CIF Imports Value,02044220,"Cuts of lamb meat with bone in, frozen",2025,Value for: kilograms,36925026.00,22476846.00,36142123.00,36830118.00,32782066.00,38386801.00,44936993.00,39394739.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02044240,"Cuts of sheep meat with bone in, nesoi, frozen",2025,Value for: kilograms,6019320.00,1921171.00,3487778.00,2939959.00,1298676.00,1259598.00,2192077.00,7667116.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02044320,"Boneless meat of lamb, frozen",2025,Value for: kilograms,19597350.00,9762795.00,8259755.00,12305929.00,8754460.00,12517752.00,15389517.00,19005476.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02044340,"Boneless meat of sheep, nesoi, frozen",2025,Value for: kilograms,64360.00,149752.00,161930.00,120133.00,102956.00,183727.00,363704.00,741429.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02045000,"Meat of goats, fresh, chilled or frozen",2025,Value for: kilograms,15435610.00,6327668.00,12221479.00,11239300.00,8693347.00,8206453.00,9440708.00,12416467.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",2025,Value for: kilograms,121044.00,174112.00,55033.00,235927.00,95602.00,164077.00,128866.00,72637.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02061000,"Edible offal of bovine animals, fresh or chilled",2025,Value for: kilograms,12137155.00,10387925.00,15478286.00,11577008.00,13006730.00,12017583.00,13886071.00,14744486.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02062100,"Tongues of bovine animals, frozen",2025,Value for: kilograms,1679326.00,779596.00,1241438.00,837865.00,898395.00,1065352.00,750199.00,1115359.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02062200,"Livers of bovine animals, frozen",2025,Value for: kilograms,143994.00,39268.00,55530.00,61320.00,105749.00,123570.00,196321.00,274723.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02062900,"Edible offal of bovine animals, except tongues or livers, frozen",2025,Value for: kilograms,35750711.00,26974178.00,30623111.00,27822882.00,25553829.00,34066239.00,35895449.00,31324778.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02063000,"Edible offal of swine, fresh or chilled",2025,Value for: kilograms,1128357.00,1038485.00,1021951.00,1013507.00,893157.00,898689.00,1141656.00,870987.00,0.00,0.00,0.00,0.00
