Data Type,HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
General CIF Imports Value,20060060,"Citrus fruit or peel of citrus or other fruit, except mixtures, preserved by sugar (drained, glace or crystallized)",2022,Value for: kilograms,16736.00,330311.00,328243.00,369973.00,1195978.00,713596.00,644529.00,565662.00,268052.00,293250.00,190494.00,124788.00
General CIF Imports Value,20060070,"Fruit nesoi, and nuts, except mixtures, preserved by sugar (drained, glace or crystallized)",2022,Value for: kilograms,184952.00,391255.00,250739.00,371619.00,447034.00,657031.00,780152.00,774156.00,580546.00,500065.00,448113.00,90493.00
General CIF Imports Value,20060090,"Vegetables and parts of plants, nesoi, preserved by sugar (drained, glace or crystallized), except mixtures,",2022,Value for: kilograms,267461.00,310347.00,601931.00,298623.00,648259.00,511227.00,399247.00,567860.00,362956.00,538959.00,374152.00,320478.00
General CIF Imports Value,20071000,"Homogenized cooked preparations of fruit put up for retail sale as infant food or for dietetic purposes, in cont. not over 250 grams, net",2022,Value for: kilograms,1257788.00,1428994.00,1426725.00,2496148.00,2144178.00,1742204.00,2192158.00,2707371.00,2819747.00,2137296.00,2731698.00,2964718.00
General CIF Imports Value,20079110,"Citrus fruit pastes and purees, being cooked preparations",2022,Value for: kilograms,216039.00,85605.00,142001.00,93835.00,273521.00,707381.00,378308.00,249107.00,276962.00,250854.00,212705.00,96793.00
General CIF Imports Value,20079140,Orange marmalade,2022,Value for: kilograms,597636.00,385525.00,476144.00,779807.00,800262.00,520067.00,682460.00,377422.00,521850.00,571099.00,645281.00,679075.00
General CIF Imports Value,20079190,"Citrus jams, fruit jellies, and marmalades (other than orange)",2022,Value for: kilograms,241293.00,235645.00,245727.00,280657.00,227987.00,332662.00,162782.00,414411.00,409768.00,213585.00,234916.00,138929.00
General CIF Imports Value,20079905,Lingonberry and raspberry jams,2022,Value for: kilograms,3271837.00,2306475.00,3781530.00,3641912.00,3161154.00,3975984.00,3392631.00,4202943.00,4446851.00,3442125.00,3466843.00,3359703.00
General CIF Imports Value,20079910,Strawberry jam,2022,Value for: kilograms,4297386.00,3260521.00,5110677.00,4219248.00,5284883.00,4343216.00,5380725.00,5961565.00,4487156.00,5084424.00,3971571.00,4115496.00
General CIF Imports Value,20079915,"Currant and other berry jams, nesoi",2022,Value for: kilograms,2911913.00,1758063.00,3251978.00,2931903.00,2871397.00,2508673.00,2952448.00,2824704.00,3075546.00,2748366.00,2410835.00,2420736.00
General CIF Imports Value,20079920,Apricot jam,2022,Value for: kilograms,1183221.00,940627.00,2002939.00,1235433.00,1933257.00,1472196.00,1265113.00,1746983.00,1229504.00,1182955.00,1432765.00,1328459.00
General CIF Imports Value,20079925,Cherry jam,2022,Value for: kilograms,852943.00,745731.00,1407929.00,912437.00,1211641.00,1160526.00,859218.00,1681771.00,880648.00,773927.00,765025.00,857507.00
General CIF Imports Value,20079930,Guava jam,2022,Value for: kilograms,181329.00,116038.00,94491.00,111458.00,209796.00,133446.00,188145.00,292423.00,176707.00,284364.00,249260.00,399163.00
General CIF Imports Value,20079935,Peach jam,2022,Value for: kilograms,420866.00,419993.00,615944.00,385042.00,536746.00,991185.00,634377.00,579233.00,1014310.00,626635.00,595273.00,784918.00
General CIF Imports Value,20079940,Pineapple jam,2022,Value for: kilograms,168571.00,86956.00,68753.00,169308.00,160366.00,136592.00,156417.00,198756.00,120871.00,230021.00,141140.00,48163.00
General CIF Imports Value,20079945,"Jams, nesoi",2022,Value for: kilograms,3531087.00,2364625.00,3516281.00,3770216.00,3620084.00,4412552.00,3753821.00,4469788.00,4015924.00,4091023.00,3650306.00,3223425.00
General CIF Imports Value,20079948,"Apple, quince and pear pastes and purees, being cooked preparations",2022,Value for: kilograms,6380267.00,4415996.00,4090873.00,3557852.00,6417556.00,8576437.00,9587989.00,12065269.00,10104776.00,11704281.00,8702152.00,9249593.00
General CIF Imports Value,20079950,"Guava and mango pastes and purees, being cooked preparations",2022,Value for: kilograms,4874732.00,5771447.00,6389976.00,6379651.00,7301500.00,7441380.00,9311705.00,9227702.00,9150279.00,10184978.00,6973386.00,6154722.00
General CIF Imports Value,20079955,"Papaya pastes and purees, being cooked preparations",2022,Value for: kilograms,28683.00,7534.00,26486.00,71386.00,6971.00,119529.00,3226.00,0.00,0.00,66969.00,0.00,48756.00
General CIF Imports Value,20079960,"Strawberry pastes and purees, being cooked preparations",2022,Value for: kilograms,1413290.00,1627792.00,628768.00,1301133.00,2554440.00,5269559.00,1234634.00,3488087.00,1742580.00,1456788.00,1116963.00,991380.00
General CIF Imports Value,20079965,"Fruit pastes and purees, nesoi, and nut pastes and purees, being cooked preparations",2022,Value for: kilograms,5087042.00,5637390.00,7023638.00,7573898.00,9301850.00,11254187.00,9826183.00,9616955.00,9772294.00,8275653.00,8436433.00,7066556.00
General CIF Imports Value,20079970,Currant and berry fruit jellies,2022,Value for: kilograms,20869.00,229477.00,73789.00,68953.00,369547.00,173314.00,56236.00,274631.00,36428.00,128257.00,7123.00,80291.00
General CIF Imports Value,20079975,"Fruit jellies, other than currant and berry",2022,Value for: kilograms,2613437.00,2964209.00,2534730.00,5183475.00,4090073.00,3630437.00,5699384.00,3771467.00,2563317.00,3368114.00,3347752.00,3801299.00
General CIF Imports Value,20081105,"Peanut butter and paste, subject to add. US note 5 to Ch. 20, not GN15",2022,Value for: kilograms,2870511.00,3029316.00,5303650.00,4824823.00,3753405.00,5459744.00,4382513.00,4985332.00,3992803.00,5311886.00,7661730.00,9750103.00
General CIF Imports Value,20081115,"Peanut butter and paste, nesoi, not subject to gen note 15 or add US note 5 to Ch. 20",2022,Value for: kilograms,607105.00,287135.00,191726.00,238401.00,217497.00,297617.00,374884.00,873875.00,765075.00,1013072.00,726785.00,1083677.00
General CIF Imports Value,20081146,"Peanuts, prepared or preserved, subject to add. US note 2 to chap. 12, not GN15",2022,Value for: kilograms,1337369.00,1209767.00,1093985.00,3636069.00,3144533.00,3927649.00,2539124.00,3626478.00,3241815.00,3128187.00,2535031.00,1984588.00
General CIF Imports Value,20081161,"Peanuts, prepared or preserved, not subject to gen note 15 or add US note 2 to Ch. 12",2022,Value for: kilograms,3688087.00,4071228.00,3587605.00,3689097.00,4059986.00,4726365.00,3720485.00,4199320.00,3589994.00,4132547.00,4257523.00,4044100.00
General CIF Imports Value,20081910,"Brazil nuts and cashew nuts, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,17825531.00,18029593.00,28962227.00,29872279.00,26546605.00,26516849.00,18946704.00,25540168.00,22506363.00,21140426.00,20651662.00,22581877.00
General CIF Imports Value,20081915,"Coconuts, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,10827328.00,17838551.00,29285849.00,17239833.00,12555478.00,12758392.00,9293878.00,9579868.00,7780597.00,8763128.00,5464422.00,7241125.00
General CIF Imports Value,20081920,"Filberts, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,1473649.00,1439312.00,1328071.00,916700.00,1432709.00,1454389.00,2239312.00,898335.00,1172523.00,1489610.00,1058146.00,725623.00
General CIF Imports Value,20081925,"Pecans, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,928533.00,791539.00,1220121.00,1014394.00,1061553.00,1653932.00,663413.00,893329.00,1313103.00,1471217.00,602580.00,926931.00
General CIF Imports Value,20081930,"Pignolia and pistachio nuts, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,3895346.00,546395.00,2205506.00,1930668.00,2294153.00,760195.00,1245440.00,677896.00,646449.00,1285876.00,729505.00,2294592.00
General CIF Imports Value,20081940,"Almonds, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,6455902.00,7134653.00,7338649.00,8132458.00,8835335.00,7264117.00,5023675.00,6382853.00,4491861.00,5763680.00,4319585.00,4966952.00
General CIF Imports Value,20081950,"Watermelon seeds, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,337884.00,51179.00,106705.00,259347.00,130847.00,109035.00,98937.00,315587.00,155817.00,91678.00,137146.00,442426.00
General CIF Imports Value,20081985,"Mixtures of nuts or other seeds otherwise prepared or preserved, nesoi",2022,Value for: kilograms,2581597.00,2582886.00,2572294.00,2647482.00,2583161.00,2486164.00,1402357.00,1312613.00,1269912.00,1980354.00,1039254.00,1421356.00
General CIF Imports Value,20081990,"Other nuts and seeds nesoi, excluding mixtures, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,12882364.00,14509379.00,12640469.00,11946419.00,13054296.00,13946519.00,11857354.00,12685205.00,13226587.00,11822616.00,11218583.00,9966790.00
General CIF Imports Value,20082000,"Pineapples, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,45281595.00,30409847.00,52349803.00,43349620.00,46182220.00,43868453.00,45135664.00,55839055.00,41090944.00,45811052.00,33885764.00,41775327.00
General CIF Imports Value,20083010,"Peel of oranges, mandarins, clementines, wilkings and similar citrus hybrids, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,236685.00,122799.00,445688.00,266639.00,286005.00,277519.00,414911.00,442532.00,393552.00,469907.00,275002.00,275050.00
General CIF Imports Value,20083020,"Peel of lemons, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,130424.00,271797.00,289357.00,79196.00,90994.00,159687.00,220742.00,77329.00,231860.00,182966.00,70709.00,152137.00
General CIF Imports Value,20083030,"Peel of citrus fruit, nesoi, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,0.00,8099.00,19763.00,14404.00,17865.00,16496.00,16791.00,4271.00,5484.00,2489.00,2643.00,17442.00
General CIF Imports Value,20083035,"Orange pulp, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,13477.00,151069.00,0.00,200821.00,15044.00,4208.00,74178.00,34093.00,210868.00,150368.00,99270.00,170844.00
General CIF Imports Value,20083037,"Citrus fruit pulp other than orange, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,587747.00,638488.00,1082210.00,378067.00,354689.00,1025771.00,721136.00,887035.00,401723.00,447591.00,853317.00,780020.00
General CIF Imports Value,20083040,"Oranges (other than peel or pulp), otherwise prepared or preserved, nesoi",2022,Value for: kilograms,138440.00,61585.00,168029.00,500298.00,592242.00,301737.00,342257.00,458786.00,416486.00,128228.00,218719.00,298449.00
General CIF Imports Value,20083042,"Satsumas, prepared or preserved, in airtight containers, aggregate quantity n/o 40,000 metric tons/calandar yr",2022,Value for: kilograms,22638943.00,23145540.00,22318252.00,39537.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,20083046,"Satsumas, prepared or preserved, in airtight containers, aggregate quantity o/40,000 metric tons/calandar yr",2022,Value for: kilograms,3510919.00,1383573.00,5599458.00,23273694.00,24005197.00,27038836.00,25316586.00,27547300.00,16855224.00,16233331.00,12865177.00,20962220.00
General CIF Imports Value,20083048,"Mandarins (other than satsuma), prepared or preserved, nesoi",2022,Value for: kilograms,6798044.00,7504692.00,3033071.00,5749317.00,3567533.00,4174295.00,3301587.00,4311830.00,6930165.00,5967299.00,4957244.00,8141823.00
General CIF Imports Value,20083055,"Clementines, wilkings and similar citrus hybrids (other than peel or pulp), otherwise prepared or preserved, nesoi",2022,Value for: kilograms,0.00,39139.00,2186.00,0.00,0.00,4606.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,20083060,"Lemons (other than peel or pulp), otherwise prepared or preserved, nesoi",2022,Value for: kilograms,84314.00,171201.00,271974.00,238896.00,404625.00,367055.00,93871.00,203168.00,72774.00,276815.00,339663.00,269540.00
General CIF Imports Value,20083066,"Limes (other than peel or pulp), otherwise prepared or preserved, not elsewhere specified or included",2022,Value for: kilograms,130871.00,58344.00,46476.00,51585.00,102195.00,92603.00,153778.00,100158.00,135835.00,258369.00,182900.00,114334.00
General CIF Imports Value,20083070,"Grapefruit (other than peel or pulp), otherwise prepared or preserved, nesoi",2022,Value for: kilograms,8066855.00,8240044.00,7864561.00,4610912.00,3426346.00,410653.00,258854.00,3118499.00,7085978.00,8434952.00,7279971.00,9447575.00
General CIF Imports Value,20083080,"Kumquats (other than peel or pulp), otherwise prepared or preserved, nesoi",2022,Value for: kilograms,3696.00,16462.00,0.00,0.00,10275.00,2519.00,5825.00,3524.00,0.00,0.00,2553.00,0.00
General CIF Imports Value,20083085,"Citron (other than peel or pulp), otherwise prepared or preserved, nesoi",2022,Value for: kilograms,0.00,32834.00,23124.00,10638.00,4818.00,13800.00,0.00,4752.00,0.00,0.00,12428.00,12480.00
General CIF Imports Value,20083096,"Citrus fruit nesoi (including bergamots), other than peel or pulp, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,5491.00,9659.00,0.00,4456.00,42017.00,21108.00,26931.00,0.00,10444.00,2501.00,2816.00,42377.00
General CIF Imports Value,20084000,"Pears, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,3712401.00,4729389.00,3442544.00,4232227.00,4210337.00,4248287.00,7651749.00,4990469.00,3369818.00,3646489.00,3181113.00,5829219.00
General CIF Imports Value,20085020,"Apricot pulp, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,8385.00,6305.00,21455.00,0.00,12881.00,3464.00,6197.00,10034.00,8599.00,3464.00,8517.00,49650.00
General CIF Imports Value,20085040,"Apricots, other than pulp, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,242568.00,424356.00,399861.00,151943.00,222525.00,182998.00,187522.00,267485.00,522073.00,449804.00,523460.00,294262.00
General CIF Imports Value,20086000,"Cherries, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,2759709.00,2536691.00,4719126.00,5621948.00,4793909.00,5427210.00,4974277.00,6775605.00,6220536.00,4220952.00,4484725.00,2902147.00
General CIF Imports Value,20087010,"Nectarines, otherwise prepared or preserved, not elsewhere specified or included",2022,Value for: kilograms,113562.00,21135.00,10101.00,3841.00,7782.00,4667.00,46665.00,0.00,29276.00,77735.00,86314.00,113152.00
General CIF Imports Value,20087020,"Peaches (excluding nectarines), otherwise prepared or preserved, not elsewhere specified or included",2022,Value for: kilograms,14915736.00,15470451.00,15700922.00,11281989.00,15937129.00,10177618.00,14030135.00,13079062.00,17901043.00,19907480.00,20715685.00,26305248.00
General CIF Imports Value,20088000,"Strawberries, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,2493225.00,2797301.00,4590153.00,4191944.00,2967007.00,4948221.00,4698040.00,4095836.00,4761100.00,6746344.00,3307562.00,3632146.00
General CIF Imports Value,20089100,"Palm hearts, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,2506310.00,1901063.00,3861374.00,3097587.00,3137101.00,3673007.00,3616792.00,2771082.00,2807247.00,3270058.00,3355163.00,3040820.00
General CIF Imports Value,20089300,Cranberries,2022,Value for: kilograms,3360380.00,1396374.00,3518956.00,2383360.00,3704041.00,2958746.00,4973262.00,2709358.00,3399934.00,4091172.00,3234497.00,3148895.00
General CIF Imports Value,20089710,"Mixtures of fruit or edible parts of plants, in airtight cont. excl. apricots, citrus, peaches or pears (incl. canned tropical fruit salad)",2022,Value for: kilograms,11027934.00,7278662.00,10708364.00,8889401.00,8589192.00,9638433.00,6172574.00,8344113.00,6099101.00,7441236.00,8860597.00,11414927.00
General CIF Imports Value,20089790,"Mixtures of fruit or other edible parts of plants, otherwise prepared or preserved, nesoi (excluding tropical fruit salad)",2022,Value for: kilograms,14331253.00,13411357.00,16686248.00,15430814.00,15774944.00,13587034.00,14231541.00,11671491.00,11179734.00,9758570.00,9526736.00,9936193.00
General CIF Imports Value,20089905,"Apples, otherwise prepared or preserved, nesoi",2022,Value for: kilograms,8498667.00,9400393.00,11429334.00,11633589.00,9636128.00,13207434.00,10784308.00,11967325.00,14008886.00,11870187.00,11119328.00,11876756.00
